temporada,rodada,partida_id,data,mandante,visitante,placar,o_que_falta,tecnico_mandante_atual,tecnico_visitante_atual,formacao_mandante_atual,formacao_visitante_atual,source_url_transfermarkt,campos_disponiveis_transfermarkt,transfermarkt_tecnico_mandante,transfermarkt_tecnico_visitante,transfermarkt_formacao_mandante,transfermarkt_formacao_visitante,onde_procurar,observacao
2013,31,4527,2013-10-26,Botafogo-RJ,Atletico-MG,1-0,"formacao_mandante, formacao_visitante",Oswaldo de Oliveira,Cuca,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,31,4528,2013-10-26,Cruzeiro,Criciuma,5-3,"formacao_mandante, formacao_visitante",Marcelo Oliveira,Argel Fuchs,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,31,4529,2013-10-27,Bahia,Athletico-PR,1-1,"formacao_mandante, formacao_visitante",Cristóvão Borges,Vagner Mancini,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,31,4531,2013-10-27,Internacional,Sao Paulo,2-3,"formacao_mandante, formacao_visitante",Clemer,Muricy Ramalho,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,31,4533,2013-10-27,Portuguesa,Flamengo,0-0,"formacao_mandante, formacao_visitante",Guto Ferreira,Jayme de Almeida Filho,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,31,4535,2013-10-27,Fluminense,Vitoria,2-3,"formacao_mandante, formacao_visitante",Vanderlei Luxemburgo,Ney Franco,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,31,4536,2013-10-27,Nautico,Goias,0-2,"formacao_mandante, formacao_visitante",Marcelo Martelotte,Enderson Moreira,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,32,4537,2013-11-02,Sao Paulo,Portuguesa,2-1,"formacao_mandante, formacao_visitante",Muricy Ramalho,Guto Ferreira,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,32,4538,2013-11-02,Vasco,Coritiba,2-1,"formacao_mandante, formacao_visitante",Adilson Batista,Péricles Chamusca,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
2013,32,4539,2013-11-02,Atletico-MG,Nautico,5-0,"formacao_mandante, formacao_visitante",Cuca,Marcelo Martelotte,,,,,,,,,Transfermarkt buscar por jogo; ogol se Transfermarkt nao trouxer tecnico/formacao; ESPN/arquivo local como fallback,"Sem link direto auditado; procurar por temporada, rodada, times, placar e data do banco."
